date, pm25, pm10, o3, no2, so2, co
1/25/2017,171,127,10,39,26,31
1/26/2017,244,130,5,28,16,25
1/27/2017,244,74,28,13,10,6
1/28/2017,102,332,8,27,48,21
1/29/2017,415,54,27,7,5,8
1/30/2017,100,33,29,9,4,4
1/31/2017,73,66,24,18,17,9
2/1/2017,163,36,25,10,6,3
2/2/2017,66,80,17,30,15,12
2/3/2017,168,127,20,38,24,22
2/4/2017,235,204,24,41,24,29
2/5/2017,341,18,34,8,3,3
2/6/2017,45,21,29,10,3,3
2/7/2017,39,69,19,24,10,10
2/8/2017,153,39,32,13,4,7
2/9/2017,88,29,29,6,1,2
2/10/2017,33,26,27,5,1,1
2/11/2017,37,77,25,21,11,6
2/12/2017,84,119,11,38,29,23
2/13/2017,213,97,24,34,14,20
2/14/2017,168,120,8,39,14,23
2/15/2017,236,135,17,54,21,28
2/16/2017,289,56,27,31,11,13
2/17/2017,164,36,33,12,4,4
2/18/2017,65,86,20,30,14,14
2/19/2017,169,97,32,23,15,9
2/20/2017,156,29,30,9,2,3
2/21/2017,39,61,13,22,6,9
2/22/2017,143,29,25,15,4,8
2/23/2017,141,29,32,13,3,5
2/24/2017,61,37,29,22,7,6
2/25/2017,78,18,33,15,3,4
2/26/2017,43,35,28,22,4,6
2/27/2017,80,93,22,35,10,14
2/28/2017,158,25,35,16,3,4
3/1/2017,54,35,37,7,2,2
3/2/2017,47,58,26,20,6,6
3/3/2017,110,98,20,28,12,14
3/4/2017,170,78,24,32,16,14
3/5/2017,165,30,29,8,2,3
3/6/2017,57,40,27,15,3,5
3/7/2017,65,25,26,5,2,2
3/8/2017,40,26,29,9,1,3
3/9/2017,48,28,21,17,1,4
3/10/2017,46,52,21,30,6,7
3/11/2017,88,75,14,24,9,10
3/12/2017,114,26,18,5,1,2
3/13/2017,47,27,15,13,2,3
3/14/2017,33,43,18,20,4,6
3/15/2017,58,71,23,27,12,11
3/16/2017,150,112,29,40,13,11
3/17/2017,185,93,33,23,9,8
3/18/2017,182,111,57,28,8,11
3/19/2017,198,146,62,34,18,20
3/20/2017,258,116,22,33,11,13
3/21/2017,196,76,39,18,3,6
3/22/2017,166,117,29,34,14,11
3/23/2017,192,94,28,23,4,14
3/24/2017,191, ,24,19,1,8
3/25/2017,156,26,40,15,1,6
3/26/2017,100,24,40,8,1,2
3/27/2017,46,27,43,11,1,2
3/28/2017,50,71,46,21,6,6
3/29/2017,141,97,53,23,7,8
3/30/2017,182,90,40,20,11,10
3/31/2017,159,43,42,14,3,5
4/1/2017,69,60,39,23,3,5
4/2/2017,80,82,43,33,8,9
4/3/2017,151,121,85,36,12,12
4/4/2017,198,100,45,22,12,10
4/5/2017,187,60,68,9,3,5
4/6/2017,138,87,71,19,3,8
4/7/2017,172,85,43,16,3,7
4/8/2017,161,100,26,25,3,9
4/9/2017,150,72,44,19,4,9
4/10/2017,154,83,42,24,5,6
4/11/2017,148,54,44,16,3,4
4/12/2017,95,73,40,30,3,6
4/13/2017,106,89,34,28,9,9
4/14/2017,131,106,45,30,4,9
4/15/2017,154,73,57,24,3,5
4/16/2017,112,111,53,29,10,8
4/17/2017,145,150,43,27,5,10
4/18/2017,180,66,44,9,1,2
4/19/2017,75,87,18,31,5,7
4/20/2017,116,75,32,24,2,7
,,,,,,
1/1/2018,89,50,14,21,7,10
1/2/2018,101,43,18,18,4,7
1/3/2018,86,26,21,10,2,4
1/4/2018,43,23,16,17,2,4
1/5/2018,48,50,17,28,4,9
1/6/2018,89,23,21,19,1,4
1/7/2018,42,54,21,26,6,8
1/8/2018,108,50,24,6,2,2
1/9/2018,51,30,25,6,2,3
1/10/2018,31,25,25,5,2,2
1/11/2018,27,22,23,12,2,4
1/12/2018,36,57,7,40,6,11
1/13/2018,116,79,6,43,8,16
1/14/2018,163,88,21,36,6,16
1/15/2018,183,45,17,25,4,8
1/16/2018,86,111,24,21,2,5
1/17/2018,114,71,24,26,6,10
1/18/2018,107,70,7,42,6,10
1/19/2018,113,95,12,48,11,18
1/20/2018,156,59,13,30,6,8
1/21/2018,97,59,13,21,12,12
1/22/2018,103,44,27,13,3,5
1/23/2018,66,27,25,7,2,3
1/24/2018,37,27,25,15,3,4
1/25/2018,48,20,29,15,3,5
1/26/2018,32,35,13,25,4,3
1/27/2018,78,74,4,39,7,12
1/28/2018,168,50,28,8,2,2
1/29/2018,38,47,27,12,2,3
1/30/2018,36,31,28,15,2,3
1/31/2018,41,60,26,14,4,3
2/1/2018,62,67,26,21,6,6
2/2/2018,90,30,28,5,2,3
2/3/2018,37,20,25,8,2,2
2/4/2018,33,33,23,19,4,4
2/5/2018,58,23,27,6,1,2
2/6/2018,29,46,20,25,6,7
2/7/2018,98,44,31,16,5,7
2/8/2018,81,59,20,28,6,9
2/9/2018,126,86,30,19,5,7
2/10/2018,107,39,30,6,2,3
2/11/2018,44,72,29,3,1,2
2/12/2018,46,49,30,6,1,2
2/13/2018,43,72,20,37,8,12
2/14/2018,130,38,32,13,4,4
2/15/2018,55,48,34,12,6,4
2/16/2018,95,104,35,15,12,7
2/17/2018,166,70,22,18,7,12
2/18/2018,160,86,34,26,8,16
2/19/2018,181,105,29,22,16,20
2/20/2018,196,42,36,12,4,6
2/21/2018,102,49,36,16,8,6
2/22/2018,115,40,34,14,5,4
2/23/2018,55,50,30,20,5,6
2/24/2018,76,62,28,11,6,6
2/25/2018,85,59,29,21,8,7
2/26/2018,125,95,33,37,12,14
2/27/2018,184,127,32,28,7,19
2/28/2018,227,89,31,19,5,10
3/1/2018,160,42,33,8,2,2
3/2/2018,52,78,26,28,9,9
3/3/2018,158,138,17,46,12,19
3/4/2018,223,150,19,21,4,8
3/5/2018,136,93,28,20,5,7
3/6/2018,130,55,29,18,5,8
3/7/2018,117,56,19,24,6,6
3/8/2018,119,48,30,20,5,8
3/9/2018,107,81,36,31,8,11
3/10/2018,171,92,42,31,8,13
3/11/2018,176,70,29,19,11,12
3/12/2018,146,115,40,31,6,12
3/13/2018,198, ,68,53,6,15
3/14/2018,274,206,29,42,10,17
3/15/2018,255,32,42,7,3,4
3/16/2018,63,57,42,10,2,5
3/17/2018,88,55,13,30,4,8
3/18/2018,139,84,35,28,1,9
3/19/2018,172,42,39,24,2,7
3/20/2018,137,38,34,17,2,4
3/21/2018,76,61,29,25,5,7
3/22/2018,140,76,38,31,4,9
3/23/2018,163,87,21,45,7,14
3/24/2018,180,68,47,36,7,13
3/25/2018,179,67,57,28,4,6
3/26/2018,132,95,63,36,8,9
3/27/2018,181,132,50,55,7,13
3/28/2018,229,632,30,28,3,8
3/29/2018,194,111,30,21,10,9
3/30/2018,107,64,47,28,4,5
3/31/2018,113,98,56,42,8,10
4/1/2018,176,137,102,44,10,16
4/2/2018,223,159,65,35,5,17
4/3/2018,252,92,35,8,2,3
4/4/2018,54,25,26,16,1,4
4/5/2018,73,153,20,12,1,5
4/6/2018,127,79,34,3,2,1
4/7/2018,60,40,38,10,2,3
4/8/2018,54,67,35,25,3,5
4/9/2018,108,85,46,29,13,13
4/10/2018,158,81,34,20,8,10
4/11/2018,109,43,42,16,4,3
4/12/2018,119,77,41,21,5,6
4/13/2018,125,63,21,29,6,12
4/14/2018,124,142,39,6,2,3
4/15/2018,132,66,46,14,4,2
4/16/2018,108,108,63,25,6,5
4/17/2018,168,137,63,19,5,7
4/18/2018,171,131,75,19,5,7
4/19/2018,169,123,96,32,4,9
4/20/2018,177,102,111,21,7,12
,,,,,,
1/1/2019, ,46,18,20,6,9
1/2/2019,116,54,11,27,7,11
1/3/2019,118,100,5,43,14,22
1/4/2019,204,42,27,12,3,7
1/5/2019,63,28,23,15,7,6
1/6/2019,52,73,6,35,6,12
1/7/2019,147,51,25,21,9,9
1/8/2019,95,27,28,11,2,4
1/9/2019,50,61,14,27,10,7
1/10/2019,121,83,7,37,8,13
1/11/2019,166,91,10,39,8,14
1/12/2019,186,192,7,54,10,25
1/13/2019,282,210,28,33,4,16
1/14/2019,201,123,19,44,5,19
1/15/2019,207,62,24,7,2,3
1/16/2019,42,61,14,27,6,7
1/17/2019,118,61,13,30,6,9
1/18/2019,122,77,7,40,9,13
1/19/2019,163,29,26,10,2,3
1/20/2019,52,24,29,8,1,3
1/21/2019,43,48,26,23,2,6
1/22/2019,85,57,22,26,4,9
1/23/2019,93,45,24,24,2,7
1/24/2019,77,63,15,27,9,13
1/25/2019,186,36,25,11,2,5
1/26/2019,53,34,9,16,2,5
1/27/2019,70,86,27,24,7,10
1/28/2019,129,49,23,15,3,6
1/29/2019,85,102,9,37,11,15
1/30/2019,183,68,24,13,4,7
1/31/2019,79,25,28,8,3,5
2/1/2019,48,73,26,26,5,9
2/2/2019,127,101,10,30,4,14
2/3/2019,186,112,39,7,1,4
2/4/2019,97,80,29,14,3,8
2/5/2019,119,157,22,12,5,8
2/6/2019,179,80,26,10,8,12
2/7/2019,141,32,36,5,1,4
2/8/2019,40,42,29,10,3,4
2/9/2019,80,23,27,7,2,3
2/10/2019,38,33,20,11,3,4
2/11/2019,83,49,28,16,6,5
2/12/2019,112,48,22,13,5,7
2/13/2019,86,32,29,13,2,5
2/14/2019,75,51,21,15,4,8
2/15/2019,133,22,28,5,2,2
2/16/2019,42,20,29,5,2,3
2/17/2019,38,22,27,10,1,3
2/18/2019,49,43,17,26,3,7
2/19/2019,96,84,29,23,2,11
2/20/2019,175,29,32,14,1,6
2/21/2019,94,51,39,25,2,10
2/22/2019,176,76,27,30,3,14
2/23/2019,195,103,46,37,5,18
2/24/2019,229,29,35,28,3,10
2/25/2019,153,57,30,24,5,9
2/26/2019,151,68,27,28,5,10
2/27/2019,139,75,37,29,5,11
2/28/2019,172,80,41,27,4,9
3/1/2019,165,87,40,30,5,11
3/2/2019,197,111,59,33,6,13
3/3/2019,250,102,42,31,6,13
3/4/2019,215,81,37,29,4,10
3/5/2019,172,71,38,23,2,9
3/6/2019,147,17,36,6,1,2
3/7/2019,36,30,35,17,2,5
3/8/2019,66,75,39,27,5,7
3/9/2019,150,85,28,32,5,8
3/10/2019,166,81,29,29,3,9
3/11/2019,183,38,38,14,1,5
3/12/2019,64,26,34,5,1,3
3/13/2019,28,25,33,11,1,3
3/14/2019,36,31,33,12,1,3
3/15/2019,34,48,33,6,1,2
3/16/2019,43,54,31,19,3,5
3/17/2019,81,70,47,25,4,7
3/18/2019,130,98,53,36,6,9
3/19/2019,175,112,59,43,6,11
3/20/2019,193,76,32,20,3,8
3/21/2019,153,31,35,4,1,3
3/22/2019,49,29,34,10,1,2
3/23/2019,33,30,33,5,1,2
3/24/2019,46,67,33,20,3,4
3/25/2019,109,51,39,21,2,5
3/26/2019,99,86,37,24,4,7
3/27/2019,118,90,33,27,4,10
3/28/2019,144,56,25,13,3,5
3/29/2019,108,71,30,14,2,3
3/30/2019,70,26,32,4,1,3
3/31/2019,25,28,34,12, ,3
4/1/2019,41,34,35,15,1,3
4/2/2019,52,53,37,19,4,7
4/3/2019,94,69,59,25,5,6
4/4/2019,142,95,60,27,5,6
4/5/2019,149,248,36,13,1,3
4/6/2019,108,135,37,19,3,6
4/7/2019,123,75,36,20,4,6
4/8/2019,132,61,33,18,6,9
4/9/2019,104,31,28,10,1,5
4/10/2019,82,28,38,15,1,4
4/11/2019,88,58,47,16,1,4
4/12/2019,138,67,49,20,2,5
4/13/2019,151,72,37,19,2,5
4/14/2019,163,54,41,10,1,2
4/15/2019,70,74,49,20,3,4
4/16/2019,133,81,78,18,4,6
4/17/2019,160,91,94,28,5,10
4/18/2019,183,141,42,10,1,5
4/19/2019,121,62,33,12,2,4
4/20/2019,83,54,17,23,1,5
,,,,,,
1/1/2020, ,46,7,23,2,8
1/2/2020,93,64,5,31,4,11
1/3/2020,132,51,9,33,4,11
1/4/2020,124,45,23,27,4,9
1/5/2020,98,63,5,32,5,13
1/6/2020,152,21,12,25,2,9
1/7/2020,149,19,24,11,2,3
1/8/2020,57,24,28,14,1,4
1/9/2020,63,32,16,25,3,6
1/10/2020,127,33,27,19,4,5
1/11/2020,83,20,23,12,1,3
1/12/2020,47,27,21,17,4,4
1/13/2020,67,22,27,8,2,4
1/14/2020,51,26,23,15,2,3
1/15/2020,62,54,12,29,4,8
1/16/2020,127,48,25,24,5,9
1/17/2020,107,73,10,34,8,15
1/18/2020,165,119,9,34,3,21
1/19/2020,251,58,28,11,1,5
1/20/2020,94,26,25,8,1,3
1/21/2020,40,54,20,21,4,8
1/22/2020,132,60,17,26,5,11
1/23/2020,158,51,31,18,4,9
1/24/2020,126,62,33,8,3,6
1/25/2020,154,99,31,14,5,8
1/26/2020,206,108,31,21,7,16
1/27/2020,231, ,33,21,8,19
1/28/2020,235, ,48,21,8,20
1/29/2020,245,38,34,17,5,12
1/30/2020,154,50,35,15,3,8
1/31/2020,133,41,33,17,3,9
2/1/2020,120,14,32,4,1,3
2/2/2020,30,25,28,5,1,3
2/3/2020,85,24,29,6,1,2
2/4/2020,79,19,29,6,1,2
2/5/2020,38,33,19,10,1,6
2/6/2020,87,31,17,10,2,10
2/7/2020,119,2,18,16,2,10
2/8/2020,160,24,31,17,3,9
2/9/2020,127, ,23,23,1,13
2/10/2020,193, ,35,25,2,13
2/11/2020,195, ,41,28,5,23
2/12/2020,244, ,50,27,3,23
2/13/2020,253, ,19,27,2,21
2/14/2020,261, ,26,8,1,9
2/15/2020,112,11,30,2,1,2
2/16/2020,29,7,32,2,1,2
2/17/2020,18,12,31,5,1,2
2/18/2020,27,21,29,17,1,3
2/19/2020,55,32,29,20,5,10
2/20/2020,126, ,29,13,4,11
2/21/2020,176,84,33,12,1,7
2/22/2020,135,14,35,5, ,2
2/23/2020,25,47,24,19,2,5
2/24/2020,110,73,25,18,5,9
2/25/2020,150,60,30,11,5,8
2/26/2020,127,36,37,8,3,4
2/27/2020,94,31,26,11,1,4
2/28/2020,79,45,35,12,1,5
2/29/2020,138, ,11,15,1,12
3/1/2020,167,16,31,10,1,10
3/2/2020,72,25,29,14,2,5
3/3/2020,80,15,25,6,1,4
3/4/2020,99,15,31,5,1,2
3/5/2020,47,44,35,12,2,4
3/6/2020,110,67,27,23,3,7
3/7/2020,168,43,39,10,2,6
3/8/2020,135, ,22,13,1,9
3/9/2020,171,28,28,12,1,7
3/10/2020,129,30,32,8,1,2
