date, pm25, pm10, o3, no2, so2, co
4/12/2016,120,58,37,24,6,6
4/13/2016,128,80,61,35,7,8
4/14/2016,163,101,73,29,7,7
4/15/2016,181,80,53,30,7,4
4/16/2016,145,49,42,20,6,4
4/17/2016,92,60,51,18,8,6
4/18/2016,132,43,58,21,6,3
4/19/2016,83,50,52,21,6,3
4/20/2016,87,42,42,21,5,4
,,,,,,
1/1/2017,126,46,25,36,8,7
1/2/2017,114,63,16,34,8,10
1/3/2017,150,79,32,35,7,11
1/4/2017,178,55,29,37,8,8
1/5/2017,147,32,34,22,5,7
1/6/2017,96,28,23,27,5,8
1/7/2017,81,16,27,22,5,7
1/8/2017,67,66,5,24,6,15
1/9/2017,162,58,29,21,10,11
1/10/2017,159,67,32,25,8,11
1/11/2017,168,38,31,19,7,6
1/12/2017,104,51,16,35,7,8
1/13/2017,144,79,27,31,14,11
1/14/2017,177,31,31,14,6,6
1/15/2017,88,20,28,13,6,4
1/16/2017,63,24,27,20,6,5
1/17/2017,77,46,19,31,8,7
1/18/2017,127,38,27,24,6,6
1/19/2017,116,67,30,28,10,9
1/20/2017,168,75,31,14,8,8
1/21/2017,138,35,30,23,6,7
1/22/2017,115,59,29,25,10,8
1/23/2017,131,33,34,16,7,6
1/24/2017,88,31,38,19,8,6
1/25/2017,97,53,41,20,9,7
1/26/2017,153,51,46,23,8,7
1/27/2017,147,59,33,14,6,6
1/28/2017,117,60,42,13,6,5
1/29/2017,97,52,37,15,6,9
1/30/2017,133,33,33,7,5,4
1/31/2017,92,14,33,7,5,4
2/1/2017,63,29,36,10,6,6
2/2/2017,96,27,35,11,6,5
2/3/2017,81,20,21,23,6,5
2/4/2017,67,45,9,29,5,10
2/5/2017,134,82,22,24,6,12
2/6/2017,186,59,38,15,6,7
2/7/2017,132,24,36,12,4,4
2/8/2017,63,16,31,13,4,5
2/9/2017,70,60,36,14,8,9
2/10/2017,160,51,35,18,9,7
2/11/2017,125,48,34,24,10,8
2/12/2017,127,58,39,40,9,10
2/13/2017,156,55,43,35,8,8
2/14/2017,152,62,54,41,9,8
2/15/2017,157,62,63,31,8,6
2/16/2017,157,49,39,31,6,6
2/17/2017,122,61,30,17,10,6
2/18/2017,125,32,29,20,8,4
2/19/2017,71,47,47,22,5,6
2/20/2017,114,66,34,18,5,5
2/21/2017,117,38,36,13,4,4
2/22/2017,84,49,29,21,4,8
2/23/2017,134,66,38,18,7,8
2/24/2017,158,43,43,20,7,6
2/25/2017,132,63,49,39,8,8
2/26/2017,164,89,59,46,9,9
2/27/2017,186,49,43,31,7,6
2/28/2017,127,46,46,26,6,5
3/1/2017,122,62,39,28,8,6
3/2/2017,137,52,37,19,6,6
3/3/2017,132,56,47,29,7,6
3/4/2017,142,61,49,37,10,7
3/5/2017,151,64,23,42,7,7
3/6/2017,159,39,43,14,5,5
3/7/2017,95,52,44,27,7,5
3/8/2017,110,45,42,23,8,6
3/9/2017,128,68,49,41,11,8
3/10/2017,164,64,39,35,8,6
3/11/2017,154,56,64,22,7,5
3/12/2017,150,31,44,20,5,5
3/13/2017,101,32,43,13,4,5
3/14/2017,105,41,44,15,6,5
3/15/2017,97,38,47,25,8,6
3/16/2017,103,31,41,20,6,4
3/17/2017,86,38,42,26,6,4
3/18/2017,112,37,41,21,6,4
3/19/2017,103,40,42,24,6,5
3/20/2017,119,42,40,27,4,7
3/21/2017,128,57,59,19,6,6
3/22/2017,149,23,33,22,5,5
3/23/2017,75,27,37,20,4,5
3/24/2017,84,46,42,24,6,5
3/25/2017,128,67,38,27,8,8
3/26/2017,159,76,47,28,10,8
3/27/2017,158,64,50,28,11,7
3/28/2017,148,64,55,24,7,5
3/29/2017,119,67,45,26,7,7
3/30/2017,154,46,41,20,5,5
3/31/2017,136,35,48,15,5,5
4/1/2017,108,62,56,34,9,8
4/2/2017,156,71,60,32,9,8
4/3/2017,166,66,75,26,8,6
4/4/2017,147,58,67,16,6,6
4/5/2017,137,52,43,30,6,7
4/6/2017,115,67,21,42,7,8
4/7/2017,160,44,21,33,4,7
4/8/2017,129,61,37,31,5,7
4/9/2017,156,39,46,18,4,6
4/10/2017,110,30,35,24,4,5
4/11/2017,94,48,40,27,5,8
4/12/2017,139,71,42,33,6,7
4/13/2017,114,64,53,30,5,5
4/14/2017,72,57,80,28,7,6
4/15/2017,91,59,87,30,7,7
4/16/2017,120,58,32,34,6,8
4/17/2017,132,57,63,28,6,9
4/18/2017,145,82,61,29,9,8
4/19/2017,130,81,59,26,6,6
4/20/2017,106,59,59,19,3,7
,,,,,,
1/1/2018,253,54,31,29,6,9
1/2/2018,132,37,29,26,5,7
1/3/2018,90,31,33,12,4,6
1/4/2018,77,10,25,13,3,6
1/5/2018,48,24,25,18,4,7
1/6/2018,75,55,21,28,5,9
1/7/2018,153,21,20,23,4,8
1/8/2018,78,73,27,23,6,13
1/9/2018,167,45,30,22,7,8
1/10/2018,96,54,25,24,8,7
1/11/2018,109,58,24,26,11,8
1/12/2018,131,42,20,23,9,8
1/13/2018,187,59,14,39,11,11
1/14/2018,257,40,26,32,6,6
1/15/2018,93,41,20,36,7,8
1/16/2018,159,56,12,36,5,8
1/17/2018,132,80,18,32,5,11
1/18/2018,176,68,28,28,3,7
1/19/2018,164,92,23,38,6,10
1/20/2018,189,76,24,37,7,9
1/21/2018,172,45,34,28,5,6
1/22/2018,117,39,31,30,4,8
1/23/2018,120,68,27,18,4,9
1/24/2018,186,25,32,11,4,5
1/25/2018,80,13,25,15,2,4
1/26/2018,60,19,28,10,3,4
1/27/2018,67,20,23,19,3,4
1/28/2018,69,21,25,16,3,5
1/29/2018,78,72,32,21,9,10
1/30/2018,175,122,34,43,14,17
1/31/2018,249,110,26,49,14,16
2/1/2018,238,86,33,40,12,14
2/2/2018,194,77,36,38,12,11
2/3/2018,177,31,30,13,5,6
2/4/2018,185,39,31,16,7,6
2/5/2018,101,53,28,31,9,8
2/6/2018,137,39,28,23,6,6
2/7/2018,94,35,30,29,6,5
2/8/2018,81,70,30,32,7,10
2/9/2018,164,57,33,34,6,8
2/10/2018,151,75,30,24,5,9
2/11/2018,139,88,35,22,6,7
2/12/2018,110,91,33,17,7,6
2/13/2018,101,47,43,22,7,6
2/14/2018,99,59,47,30,5,7
2/15/2018,112,49,35,16,4,5
2/16/2018,104,23,32,13,3,4
2/17/2018,65,43,49,13,5,5
2/18/2018,111,25,36,13,4,4
2/19/2018,57,20,40,11,3,4
2/20/2018,68,45,38,11,4,5
2/21/2018,121,41,40,12,3,5
2/22/2018,102,47,35,19,4,7
2/23/2018,123,49,44,19,5,7
2/24/2018,133,40,40,19,4,6
2/25/2018,111,38,41,15,4,5
2/26/2018,102,42,40,23,4,6
2/27/2018,114,43,54,17,4,5
2/28/2018,110,33,37,18,3,5
3/1/2018,97,64,45,23,4,8
3/2/2018,173,33,37,15,3,4
3/3/2018,76,31,35,19,3,5
3/4/2018,99,31,49,16,3,6
3/5/2018,92,34,38,12,3,4
3/6/2018,70,38,41,12,3,3
3/7/2018,64,26,35,18,3,4
3/8/2018,74,45,39,13,3,6
3/9/2018,111,44,34,21,5,5
3/10/2018,118,55,66,29,5,6
3/11/2018,125,57,56,27,5,5
3/12/2018,144,36,49,24,5,4
3/13/2018,165,36,48,22,7,5
3/14/2018,79,31,34,16,4,4
3/15/2018,133,43,22,31,5,7
3/16/2018,106,39,38,13,4,4
3/17/2018,82,34,40,14,3,3
3/18/2018,73,43,34,25,4,5
3/19/2018,88,34,31,19,3,5
3/20/2018,96,47,30,21,3,8
3/21/2018,131,29,22,21,3,6
3/22/2018,100,66,40,34,6,8
3/23/2018,161,77,60,33,5,7
3/24/2018,165,65,54,31,5,6
3/25/2018,144,71,70,28,5,6
3/26/2018,153,61,55,26,7,5
3/27/2018,138,60,59,27,8,6
3/28/2018,136,55,68,25,5,5
3/29/2018,122,44,36,22,4,4
3/30/2018,114,36,21,23,4,5
3/31/2018,90,46,53,19,3,4
4/1/2018,99,69,68,19,5,5
4/2/2018,121,80,28,29,6,6
4/3/2018,129,67,45,16,5,4
4/4/2018,134,45,33,16,3,4
4/5/2018,104,31,32,18,3,5
4/6/2018,98,93,40,15,4,7
4/7/2018,125,58,44,16,5,5
4/8/2018,85,65,61,31,6,5
4/9/2018,372,72,66,33,6,6
4/10/2018,290,53,67,20,5,6
4/11/2018,184,104,63,37,8,8
4/12/2018,253,63,40,22,6,5
4/13/2018,91,44,44,20,4,4
4/14/2018,76,32,30,20,3,5
4/15/2018,97,71,68,22,5,6
4/16/2018,135,110,35,27,5,4
4/17/2018,91,56,46,31,7,5
4/18/2018,111,58,77,28,5,4
4/19/2018,125,57,75,23,5,4
4/20/2018,110,58,53,14,4,4
,,,,,,
1/1/2019, ,34,27,13,4,4
1/2/2019,93,61,28,19,7,7
1/3/2019,158,52,24,27,5,7
1/4/2019,144,25,21,28,3,5
1/5/2019,75,35,20,24,3,6
1/6/2019,105,35,25,22,3,3
1/7/2019,95,33,22,25,4,3
1/8/2019,97,50,33,21,5,6
1/9/2019,159,28,26,20,4,5
1/10/2019,89,21,20,24,3,5
1/11/2019,78,21,19,27,3,6
1/12/2019,72,41,12,25,5,11
1/13/2019,120,65,20,28,4,11
1/14/2019,165,65,32,32,4,8
1/15/2019,164,78,38,26,6,13
1/16/2019,185,53,33,24,5,6
1/17/2019,105,87,24,46,7,11
1/18/2019,164,77,40,40,7,9
1/19/2019,168,73,27,43,6,10
1/20/2019,162,74,34,29,7,10
1/21/2019,160,57,27,39,7,7
1/22/2019,124,78,27,45,8,10
1/23/2019,167,81,38,53,7,11
1/24/2019,172,78,42,48,8,10
1/25/2019,173,40,36,29,5,5
1/26/2019,100,34,30,14,4,4
1/27/2019,69,36,33,22,4,4
1/28/2019,71,54,24,33,6,7
1/29/2019,128,63,30,26,4,6
1/30/2019,120,53,29,31,3,6
1/31/2019,92,27,34,12,2,5
2/1/2019,62,60,29,15,3,8
2/2/2019,147,61,36,16,3,7
2/3/2019,142,59,21,19,4,11
2/4/2019,143,94,36,16,4,9
2/5/2019,151,64,37,12,3,5
2/6/2019,76,58,36,15,3,7
2/7/2019,131,41,33,8,3,5
2/8/2019,92,23,31,8,2,3
2/9/2019,59,19,31,7,2,3
2/10/2019,58,25,30,10,3,4
2/11/2019,73,30,30,14,4,5
2/12/2019,91,28,31,16,3,5
2/13/2019,84,34,36,11,2,4
2/14/2019,87,39,37,13,2,4
2/15/2019,93,19,28,17,2,3
2/16/2019,67,51,32,12,2,4
2/17/2019,122,40,36,12,3,3
2/18/2019,94,23,28,19,2,2
2/19/2019,68,32,14,26,2,6
2/20/2019,99,44,25,21,2,6
2/21/2019,131,52,35,18,3,6
2/22/2019,148,47,30,22,2,7
2/23/2019,137,84,36,32,5,10
2/24/2019,185,81,41,44,7,11
2/25/2019,180,67,31,47,4,9
2/26/2019,191,50,41,22,3,5
2/27/2019,113,41,30,23,2,6
2/28/2019,93,39,32,22,3,5
3/1/2019,101,76,47,29,4,7
3/2/2019,157,51,40,24,2,6
3/3/2019,140,67,34,32,3,8
3/4/2019,161,77,47,28,4,8
3/5/2019,172,69,42,28,2,7
3/6/2019,168,66,52,24,2,10
3/7/2019,157,67,50,16,3,8
3/8/2019,140,40,38,18,2,4
3/9/2019,76,33,24,41,2,8
3/10/2019,97,51,23,28,2,9
3/11/2019,135,77,49,40,4,9
3/12/2019,157,90,47,29,4,8
3/13/2019,155,61,39,19,3,4
3/14/2019,78,35,36,23,2,5
3/15/2019,75,55,45,28,5,7
3/16/2019,132,63,62,28,5,6
3/17/2019,201,72,75,33,6,9
3/18/2019,220,39,41,22,2,6
3/19/2019,106,43,50,30,3,7
3/20/2019,109,48,48,25,3,8
3/21/2019,100,53,40,20,3,10
3/22/2019,138,35,39,12,2,5
3/23/2019,72,42,44,20,4,7
3/24/2019,89,50,53,18,3,6
3/25/2019,117,56,42,32,3,8
3/26/2019,146,61,50,35,4,8
3/27/2019,145,53,41,34,4,9
3/28/2019,135,60,32,39,3,11
3/29/2019,151,55,43,28,3,7
3/30/2019,126,64,42,27,4,8
3/31/2019,136,49,44,15,3,5
4/1/2019,64,51,60,24,4,6
4/2/2019,115,56,53,25,3,7
4/3/2019,98,60,40,34,4,8
4/4/2019,134,42,41,20,2,6
4/5/2019,117,63,82,24,4,8
4/6/2019,151,59,74,25,4,7
4/7/2019,141,81,92,31,5,9
4/8/2019,156,72,71,30,5,9
4/9/2019,162,47,46,14,2,6
4/10/2019,113,25,35,14,2,6
4/11/2019,75,38,43,20,3,7
4/12/2019,90,55,61,33,4,8
4/13/2019,139,38,57,19,2,6
4/14/2019,88,46,49,21,3,9
4/15/2019,121,56,51,22,3,8
4/16/2019,105,52,48,20,2,5
