date, pm25, pm10, o3, no2, so2, co
4/18/2016,112,67,52,32,4,7
4/19/2016,123,75,52,30,8,10
4/20/2016,133,45,34,21,7,10
,,,,,,
1/1/2017,194, , , , , 
1/2/2017, ,119,30,47,9,14
1/3/2017,197,141,27,57,14,22
1/4/2017,230,162,9,52,10,26
1/5/2017,273,33,13,24,3,17
1/6/2017,107,18,21,21,2,8
1/7/2017,76,34,14,21,3,10
1/8/2017,108,68,26,28,6,13
1/9/2017,155,94,29,39,14,21
1/10/2017,186,72,32,30,7,14
1/11/2017,173,82,18,29,8,16
1/12/2017,186,77,27,33,6,15
1/13/2017,180,95,16,45,6,19
1/14/2017,181,83,30,37,17,23
1/15/2017,163,65,22,30,10,13
1/16/2017,138,79,32,37,11,18
1/17/2017,198,81,24,35,8,11
1/18/2017,161,80,15,32,7,12
1/19/2017,174,94,40,24,7,10
1/20/2017,187,107,37,28,9,10
1/21/2017,154,98,32,41,12,17
1/22/2017,160,135,35,52,11,20
1/23/2017,205,106,36,46,15,16
1/24/2017,183,80,38,39,15,14
1/25/2017,165,75,36,32,7,14
1/26/2017,170,69,41,34,7,13
1/27/2017,167,161,32,29,10,16
1/28/2017,207,131,31,27,14,20
1/29/2017,222,100,25,12,7,16
1/30/2017,193,89,33,11,7,17
1/31/2017,188,67,25,19,9,19
2/1/2017,163,48,22,12,3,13
2/2/2017,157,54,21,20,3,15
2/3/2017,160,52,14,21,3,16
2/4/2017,160,47,13,19,5,16
2/5/2017,148,63,19,24,5,17
2/6/2017,161,84,28,30,7,19
2/7/2017,174,50,28,22,6,13
2/8/2017,149,39,33,14,3,9
2/9/2017,132,71,37,23,7,13
2/10/2017,173,73,42,36,11,15
2/11/2017,161,79,37,40,15,16
2/12/2017,157,102,47,50,10,17
2/13/2017,176,95,44,55,19,19
2/14/2017,171,87,44,47,12,16
2/15/2017,155,123,42,67,17,20
2/16/2017,176,115,63,51,14,15
2/17/2017,174,158,24,22,8,16
2/18/2017,262,99,21,36,11,18
2/19/2017,185,130,32,41,9,18
2/20/2017,208,119,25,28,9,18
2/21/2017,197,48,19,23,8,18
2/22/2017,100,50,25,21,5,12
2/23/2017,156,66,33,34,11,13
2/24/2017,162,76,41,41,9,11
2/25/2017,158,81,48,47,11,12
2/26/2017,162,98,53,55,10,13
2/27/2017,164,113,52,58,20,16
2/28/2017,168,100,50,54,17,16
3/1/2017,168,109,44,35,8,12
3/2/2017,140,91,38,34,13,12
3/3/2017,112,86,39,43,21,12
3/4/2017,146,98,19,49,13,17
3/5/2017,167,64,32,34,6,12
3/6/2017,158,157,56,42,9,21
3/7/2017,297,125,61,49,10,19
3/8/2017,237,96,56,47,13,13
