date, pm25, pm10, o3, no2, so2, co
1/20/2018,102,38,31,33,3,8
1/21/2018,92,53,39,39,5,8
1/22/2018,123,85,26,76,14,12
1/23/2018,172,53,40,44,3,11
1/24/2018,121,45,38,25,2,7
1/25/2018,92,35,30,25,2,7
1/26/2018,74,46,29,33,2,7
1/27/2018,86,38,21,26,2,7
1/28/2018,80,41,23,32,3,9
1/29/2018,83,16,10,32,5,8
1/30/2018,42,29,7,27,8,9
1/31/2018,81,18,10,31,8,10
2/1/2018,54,45,24,42,8,9
2/2/2018,96,43,20,43,8,9
2/3/2018,99,49,25,43,9,8
2/4/2018,107,62,31,48,9,8
2/5/2018,138,57,22,51,9,8
2/6/2018,127,44,33,46,10,8
2/7/2018,96,50,37,48,9,8
2/8/2018,105,43,30,44,8,8
2/9/2018,95,40,38,40,6,9
2/10/2018,82,60,16,63,10,12
2/11/2018,134,61,31,46,7,11
2/12/2018,149,51,32,53,6,11
2/13/2018,120,58,38,43,4,10
2/14/2018,102,50,35,47,3,8
2/15/2018,82,56,23,61,11,10
2/16/2018,97,53,36,57,14,10
2/17/2018,121,45,31,29,7,7
2/18/2018,106,34,33,25,3,7
2/19/2018,79,31,23,36,5,7
2/20/2018,76,35,15,41,7,10
2/21/2018,86,32,28,27,2,7
2/22/2018,75,20,28,27,3,9
2/23/2018,52,14,25,29,3,9
2/24/2018,39,30,33,34,3,8
2/25/2018,73,43,29,38,5,9
2/26/2018,101,22,20,29,3,8
2/27/2018,59,36,32,40,4,8
2/28/2018,75,47,25,56,9,10
3/1/2018,95,55,26,53,16,11
3/2/2018,133,43,37,42,4,9
3/3/2018,96,54,25,37,4,9
3/4/2018,119,31,10,24,6,12
3/5/2018,85,29,9,34,16,10
3/6/2018,72,41,34,30,9,8
3/7/2018,83,30,33,30,3,8
3/8/2018,64,16,15,35,3,9
3/9/2018,43,26,32,42,6,8
3/10/2018,62,42,43,38,5,8
3/11/2018,82,34,44,24,5,6
3/12/2018,71,36,35,46,4,8
3/13/2018,72,39,30,51,3,9
3/14/2018,83,37,27,42,3,9
3/15/2018,84,53,23,50,9,11
3/16/2018,111,54,15,61,13,11
3/17/2018,124,39,35,28,2,8
3/18/2018,91,37,37,24,2,8
3/19/2018,78,44,31,37,3,9
3/20/2018,89,33,28,45,6,11
3/21/2018,77,30,42,52,3,10
3/22/2018,63,36,54,52,3,9
3/23/2018,76,46,51,47,3,9
3/24/2018,82,54,47,37,2,9
3/25/2018,92,52,48,30,2,8
3/26/2018,89,55,45,58,7,10
3/27/2018,99,57,42,63,7,11
3/28/2018,123,49,41,54,3,9
3/29/2018,110,46,40,43,2,6
3/30/2018,99,37,41,29,3,5
3/31/2018,83,30,37,21,2,3
4/1/2018,61,40,36,30,4,4
4/2/2018,78,54,39,47,15,5
4/3/2018,101,45,26,40,8,5
4/4/2018,90,42,25,37,4,6
4/5/2018,80,30,24,26,3,5
4/6/2018,60,44,22,43,5,7
4/7/2018,73,72,36,41,2,4
4/8/2018,96,71,50,41,3,5
4/9/2018,101,61,47,50,3,6
4/10/2018,98,42,35,44,2,6
4/11/2018,72,43,22,33,8,7
4/12/2018,90,29,13,24,9,7
4/13/2018,71,20,15,19,2,6
4/14/2018,61,20,13,18,8,6
4/15/2018,58,27,13,23,4,9
4/16/2018,69,26,14,29,2,8
4/17/2018,66,32,26,31,2,8
4/18/2018,76,54,47,33,2,8
4/19/2018,104,48,49,34,3,7
4/20/2018,90,49,45,31,2,6
